"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
15 20 16 12 13 8 14 14 14 9 16 15 15 14 16 20 17 12 6 15
15 14 14 16 18 18 14 14 17 12 17 16 17 16 10 11 18 14 8 16
12 16 19 15 13 16 18 7 16 15 19 10 17 13 13 10 12 9 26 12
20 12 10 11 19 19 14 11 9 11 12 8 15 13 12 17 16 10 11 16
17 15 13 16 17 22 15 9 18 12 8 15 12 14 14 8 20 21 17 13
12 14 7 14 16 8 17 14 9 14 17 15 7 14 11 9 17 23 21 17
16 22 9 14 6 7 12 16 19 14 15 14 10 14 18 6 8 20 7 15
14 8 5 15 14 8 11 10 11 15 12 20 14 17 10 14 16 18 16 10
11 9 18 18 11 14 16 12 15 9 20 10 10 16 15 18 16 16 15 12
15 12 15 15 7 15 19 14 18 11 15 13 11 17 15 8 15 16 18 17
15 12 12 18 13 9 17 15 11 18 11 10 11 10 13 12 14 10 8 20
19 11 20 14 9 15 14 14 18 7 18 14 20 15 16 16 17 10 15 13
23 13 14 10 8 11 12 20 12 11 14 10 14 12 9 10 14 15 13 14
12 22 15 10 11 24 7 15 18 13 12 10 18 13 20 7 18 14 15 12
12 14 10 10 11 17 12 10 21 17 11 10 12 19 13 22 16 18 13 8
20 13 13 14 19 19 16 13 13 15 8 11 10 14 15 10 16 15 16 17
9 14 19 19 12 12 8 12 19 17 18 8 16 17 8 17 18 14 15 11
15 9 17 9 17 14 15 10 11 11 13 9 8 11 13 16 7 6 18 16
9 13 14 13 10 14 14 8 10 19 11 8 20 13 22 10 12 12 14 17
15 16 17 14 11 21 17 25 18 15 15 12 18 17 9 15 12 14 12 13
13 12 11 18 15 17 18 16 17 13 12 16 15 15 22 13 13 13 12 17
10 17 13 18 12 17 10 9 12 16 12 15 16 18 16 15 15 12 14 15
16 15 18 13 8 9 13 12 8 6 15 12 12 12 14 17 13 8 19 13
11 12 12 8 11 12 11 19 14 12 17 22 22 17 15 10 11 14 11 13
15 14 11 19 6 15 10 12 6 12 15 14 18 19 16 12 15 28 9 15
13 13 17 12 11 13 22 14 10 12 15 16 16 10 15 13 16 10 14 16
17 13 18 15 16 10 16 7 11 18 9 15 15 10 9 10 11 12 25 12
20 17 15 18 13 13 12 18 15 9 10 7 14 15 16 6 15 14 9 18
18 16 20 18 8 10 12 12 13 13 12 17 8 14 11 22 16 14 15 13
15 15 13 17 13 13 7 13 16 13 12 20 12 9 18 15 15 13 6 10
